"bigram","count"
"er",797776915
"ri",653741099
"an",640721456
"in",521042274
"on",509066888
"es",476669610
"th",435514480
"la",430585459
"en",420587604
"ge",414533529
"ar",407753559
"he",393988121
"el",383694176
"ll",368413366
"at",367470480
"ha",355590981
"re",354155190
"me",349527740
"et",327890057
"ra",321546618
"ie",318790723
"tr",314623949
"al",314618634
"ro",305444979
"om",304888315
"or",304673190
"co",303357201
"se",288618070
"te",285170091
"ve",277688960
"ne",277245834
"st",272767504
"am",260896540
"ch",258379457
"le",255136125
"ta",250867221
"is",247124790
"ng",243616889
"ti",243197058
"as",238189332
"ol",237441477
"ma",236405475
"na",233253421
"nd",221343822
"eo",219810358
"de",216676669
"ze",208720550
"sc",206504297
"ed",206216052
"li",203700596
"iz",203418483
"to",199612079
"nt",190270386
"it",188328652
"hi",188055289
"pe",184493644
"ke",178045501
"us",174005387
"io",173420002
"ni",170967644
"ns",166271010
"si",164713160
"il",160247192
"ic",159395752
"ia",151316548
"di",147507018
"pa",146999918
"ca",146665250
"no",143469520
"ur",143459682
"sh",143135531
"rg",142132792
"un",140144598
"ea",140033441
"ou",137857895
"ac",137085682
"ee",133302384
"ce",129183648
"be",125944310
"lo",125804487
"ho",125514515
"ka",123538106
"sa",120441097
"ba",117583347
"of",117314201
"ga",114332635
"ad",113549912
"os",110439087
"mi",110245805
"ya",108156267
"ek",107464471
"ov",107449618
"wa",105726438
"ec",105032895
"ot",102976751
"ci",102799115
"ir",102714042
"ai",102584176
"id",102241020
"nv",102063472
"rs",100980625
"fu",98951819
"mo",98827925
"so",97387205
"vi",97381131
"fo",95857057
"da",95789840
"ss",95379176
"ak",91718109
"rt",90664676
"ly",89115974
"nc",85657867
"em",84873420
"ki",84108659
"pr",83983884
"mr",83448422
"op",82024706
"po",80852165
"bo",79878244
"iv",79499635
"va",78298790
"ul",77756864
"ck",76634944
"we",76334552
"br",76004405
"ut",75551703
"sp",75436019
"ab",74628056
"ip",73615781
"ts",73581653
"ag",73150495
"ko",73090930
"ru",72939124
"aa",72774882
"wi",71520249
"ap",71008173
"ig",70953496
"rd",69194423
"tu",69044636
"do",65966712
"im",65768671
"oo",65295569
"ay",64892513
"su",64630720
"ei",64499995
"oc",64205800
"fi",63751561
"ct",62668736
"pi",61272549
"tt",60786742
"rc",59365274
"eg",58394015
"um",58361299
"ow",57515984
"gr",57381158
"ef",57329333
"ud",57140621
"lu",57061542
"iy",57040617
"fe",56802018
"bu",56197238
"au",55612202
"ja",55590302
"ry",55430521
"ev",54173848
"av",53778122
"mc",52557521
"cu",51502451
"nn",51273406
"ui",50924694
"ep",50740469
"rn",50509506
"ph",50275726
"ib",49901568
"ah",49560988
"sk",49205418
"bi",49152117
"gh",48579472
"ew",48099704
"ye",47217554
"hu",47074859
"oe",46830483
"ty",45946738
"du",45854742
"kh",45525707
"mu",45212455
"go",45183590
"od",45180234
"gi",45008760
"fl",44955700
"pl",44864806
"rm",44755083
"mp",44232665
"zi",44115629
"ae",43939279
"ua",43691329
"rr",43252181
"vo",42516356
"ik",42208019
"ld",42143510
"ok",42067469
"mb",41568851
"ls",41281462
"gu",41194968
"fr",40877345
"eu",40726873
"nk",40609137
"fa",40240463
"rk",39416913
"og",39194954
"nu",39100123
"aq",38391231
"dr",37351229
"ue",37098434
"ub",36424679
"cy",35836733
"cr",35763889
"pu",35723134
"bl",35499200
"uc",35257313
"aw",34971232
"ey",34874210
"mm",34203430
"wo",33682523
"eb",33410067
"rl",33250481
"ds",33090770
"oa",33086464
"ny",32690851
"cl",32136323
"if",32107094
"yo",31642234
"ob",31505384
"uk",30531236
"up",30296217
"wh",30022027
"af",29961782
"qu",29854263
"yn",29802736
"ii",29529936
"az",29404030
"ps",29288426
"ex",29072252
"hr",28871426
"hn",28684174
"jo",28611112
"lt",28567572
"ku",27851593
"eq",27758650
"tc",26308545
"ht",26098211
"ug",25918260
"by",25845775
"uz",25466819
"za",24978178
"qt",24935794
"oi",24792225
"ff",24471296
"pf",24371768
"ms",24060885
"iu",24032054
"ji",24002061
"pt",23560157
"pp",23545939
"hy",23466824
"gs",23463504
"rp",23396529
"ks",23237858
"qe",22968530
"df",22720698
"sl",22669747
"gl",22050165
"sv",21981516
"je",21846710
"tl",21672665
"wn",21631328
"ju",21346878
"ao",21280069
"nj",21035076
"dh",20635997
"sm",20403685
"dd",20388019
"rb",20168344
"ys",20132174
"my",19974265
"gn",19548561
"yu",19195006
"sy",18895128
"aj",18702051
"lv",17716678
"eh",17307242
"nb",17243013
"kr",17076513
"cc",16926724
"nm",16809699
"nl",16801851
"lb",16736291
"lm",16496429
"oh",16460628
"ft",16440113
"rv",16128641
"uf",15784954
"dy",15708682
"kl",15691241
"oy",15285303
"km",15162425
"sw",15043670
"uo",15040810
"yi",14919474
"sn",14568177
"hs",14543069
"tw",14417433
"yl",14392811
"ej",14074571
"yr",13884486
"zo",13672603
"nf",13406703
"bs",12668495
"ws",12348760
"bh",12346373
"tn",12245980
"sb",12183743
"sr",12054011
"yd",11773860
"kt",11626594
"oj",11458260
