"word","count","prob"
"d-",14278628,0.07831218781531461
"va`",2771123,0.015198428366882179
"cua?",2669284,0.014639884864318447
"mo]",2365129,0.01297172434602717
"the^",2258184,0.012385176610074522
"la`",2252553,0.012354292975485228
"na{",2155634,0.01182273357559942
"tu+",1911386,0.01048313741485374
"cac'",1669721,0.009157707908013783
"co'",1497735,0.008214438013062675
"thu+",1432963,0.007859191204393563
"loai.",1408460,0.007724802694654432
"nhu+",1370957,0.007519114726620129
"tie^",1361723,0.007468470172935662
"ngu+",1297154,0.007114336732730657
"nha}",1294930,0.007102139040788469
"co]",1294062,0.007097378430803826
"vie^",1223453,0.006710118165360117
"su+",1159167,0.006357536859516442
"ta}",1112597,0.006102120261608054
"vo[",1084679,0.005949001932632183
"ca}",1005700,0.005515835785193769
"to]",1003671,0.00550470758512601
"so]",971398,0.005327703937621208
"o[",948803,0.005203779994530389
"thang'",905447,0.004965990816542018
"tru+",871186,0.004778083836491829
"thanh`",840680,0.0046107714307414395
"va}",838116,0.004596708983736152
"vao`",818793,0.004490730565840838
"kho]",817570,0.004484022932187385
"ho]",797820,0.004375702601315802
"lu+",775506,0.004253319823438894
"hie^",763086,0.004185201417898359
"bo]",742845,0.004074188161332666
"nhie^",721916,0.003959401518051054
"ba{",709217,0.003889752916443998
"qua}",706387,0.0038742315728304984
"da}",703263,0.003857097764544787
"nay`",689114,0.003779496531051002
"ke^",683580,0.0037491449001120854
"bie^",672310,0.0036873337543438284
"du+",663748,0.0036403748341958383
"quo]",658765,0.003613045203373911
"tai.",647096,0.0035490457126933703
"la}",646760,0.003547202895925113
"chie^",637458,0.0034961853912280185
"lie^",634112,0.0034778340075775666
"chu+",633148,0.003472546878516292
"pha}",628837,0.0034489028812308485
"ngay`",624021,0.0034224891742193272
"tha}",620209,0.0034015819792176704
"ve^",619701,0.0033987958157704456
"o]",612547,0.0033595591754131925
"nu+",596968,0.0032741150015069337
"cu+",590533,0.0032388217696507878
"chinh'",571239,0.00313300240439324
"tho]",549962,0.003016307129458794
"te^",547568,0.0030031770599850353
"hoc.",532103,0.0029183581274822906
"ho[",522432,0.0028653168150843443
"nha`",508966,0.002791461545437916
"cha}",496867,0.0027251036880599046
"tre^",485384,0.0026621243280903545
"tho[",469623,0.002575681961767953
"bi.",467481,0.002563934004870389
"le^",464502,0.002547595459773341
"thie^",461566,0.0025314927513460516
"die^",440063,0.002413557962752016
"vu+",436877,0.0023960841108959657
"cuo]",421953,0.0023142323327730407
"lo[",418758,0.0022967091197535574
"a}",409282,0.002244737299230038
"no]",402497,0.0022075244665736454
"ban?",380539,0.0020870941969392833
"hanh`",376646,0.0020657427514667176
"lam`",374409,0.002053473760066222
"phat'",374353,0.002053166623938181
"lai.",369934,0.002028930292691516
"tra}",367155,0.002013688662337475
"hu+",365599,0.002005154665636903
"ho.",364563,0.0019994726472681535
"cung~",364060,0.0019967139066894993
"hinh`",349889,0.0019189920125739777
"xua}",346719,0.0019016059138973731
"kie^",346010,0.0018977173511334322
"trie^",344668,0.0018903570532078711
"tro[",335498,0.0018400635122411547
"nghie^",333353,0.0018282991016224412
"giai?",332846,0.0018255184227489237
"no'",325594,0.0017857442941676123
"pho]",321483,0.00176319721162518
"loai`",321121,0.0017612117959403361
"ma{",319950,0.0017547893601200547
"khao?",319394,0.0017517399371344998
"gio[",317215,0.00173978905100948
"ngoai`",314634,0.0017256333662510135
"nguye^",313784,0.0017209714785932542
"thuo]",305964,0.0016780821121418093
"thu?",305413,0.0016750601120248314
"phap'",297570,0.0016320446003779442
"quye^",296351,0.0016253589050193406
"chi?",295905,0.001622912785142439
"khac'",295579,0.001621124814111343
"bo[",289966,0.0015903399018489513
"co[",287458,0.0015765845909716837
"go]",285609,0.001566443614172617
"con`",283802,0.0015565329894695746
"thi.",282715,0.00155057125784135
"cung`",281418,0.0015434577657329714
"so[",280922,0.0015407374171703282
"va{",280724,0.0015396514715747527
"mo[",279620,0.001533596502193373
"ly'",278561,0.0015277883386291646
"ky`",276847,0.0015183877792816236
"ne^",272774,0.0014960491105403585
"chuye^",272248,0.0014931642247662572
"dung.",266163,0.0014597905937103698
"vi.",265245,0.0014547557550399833
"xa~",264120,0.0014485856096105878
"bong'",260515,0.0014288137213679475
"chu?",256575,0.001407204500930776
"ma}",255223,0.0013997893572680808
"he^",254708,0.0013969648018048403
"cach'",251288,0.0013782075596994751
"be^",250113,0.0013717631855843337
"ha}",244663,0.0013418722588374853
"phu+",232557,0.001275476009443475
"u+",230347,0.001263355101533287
"phia'",229994,0.0012614190470118792
"ye^",228820,0.0012549801574704518
"giao'",228677,0.0012541958634292004
"ra{",227667,0.0012486564439770354
"tinh?",227613,0.001248360276996421
"phai?",220494,0.0012093155967192071
"tuye^",219035,0.0012013136036690007
"trinh`",218711,0.0011995366017853296
"ba}",217853,0.0011948308375378494
"giu+",217097,0.0011906844998092949
"thua}",216559,0.001187733799150615
"binh`",216281,0.0011862090876578356
"ca?",215037,0.001179386277956353
"san?",213762,0.001172393446469705
"truye^",210806,0.0011561810465681127
"si~",210622,0.001155171885004548
"hoa{",209706,0.001150148015481594
"hoang`",209347,0.0011481790535179
"thich'",207210,0.0011364585194889062
"che^",207158,0.0011361733216557275
"lo]",204521,0.0011217105007692277
"my~",202685,0.0011116408234284492
"hoa'",201199,0.001103490746887932
"tinh'",199457,0.0010939366194763706
"tha{",197876,0.0010852655084329311
"ga}",196481,0.00107761452810048
"chu'",194958,0.001069261522332504
"tac'",194592,0.0010672541683528075
"ma`",192249,0.00105440381213852
"hang`",191095,0.001048074614071389
"vi`",190662,0.0010456997936527863
"ngo]",189804,0.0010409940294053028
"tri.",188932,0.0010362114811258048
"chung'",188243,0.0010324326098361573
"ta{",187568,0.0010287305225785241
"vu.",185314,0.0010163682934248692
"se~",182986,0.001003600205816307
"thai'",180010,0.0009872781144404134
"ro]",179150,0.0009825613810455036
"huye^",178704,0.0009801152611686045
"may'",177553,0.0009738025168226136
"vung`",177511,0.0009735721647265828
"nhac.",176779,0.0009695574567671895
"goi.",174573,0.0009574584871518595
"sa{",173440,0.0009512444651327439
"ta?",173360,0.0009508056992355426
"tao.",172380,0.0009454308169948248
"sa}",167439,0.0009183315382689195
"ra}",165685,0.000908711595972778
"minh`",165142,0.0009057334724455236
"tich'",165057,0.0009052672836797471
"anh?",163383,0.0008960861072808067
"hoa`",161079,0.0008834496494414049
"cho]",161052,0.0008833015659510991
"vo]",160910,0.0008825227564835666
"to[",160715,0.0008814532646091376
"mu+",159490,0.0008747346618082406
"lich.",159191,0.0008730947742674508
"khoang?",156573,0.0008587361602815333
"y'",154954,0.0008498566354369189
"tau`",154496,0.0008473447006754406
"mie^",154070,0.000845008272272842
"cho[",151919,0.0008332109542118384
"bao?",151244,0.0008295088669542016
"toan`",150442,0.0008251102388347571
"sach'",148315,0.0008134445505429135
"nghia~",147185,0.0008072469822449431
"xu+",146749,0.000804855708105195
"nghe^",144885,0.0007946324627004011
"lua}",143875,0.0007890930432482325
"ba`",143368,0.0007863123643747189
"ha`",142476,0.0007814201246209227
"thi`",142133,0.0007795389158366714
"tri'",141744,0.0007774054166615295
"bai`",140815,0.0007723102476802776
"hai?",140589,0.0007710707340206834
"hoat.",136869,0.0007506681198008161
"no[",134212,0.0007360956074400127
"nho?",133065,0.0007298048013888871
"phong`",127815,0.000701010789385042
"muc.",127412,0.0006988005061778896
"hang.",127090,0.0006970344734416538
"dich.",126674,0.0006947528907762062
"tinh`",125879,0.0006903926546727669
"ca'",125725,0.0006895480303206541
"phu?",125664,0.000689213471324038
"nie^",125419,0.000687869750763858
"xa}",121688,0.0006674068062331257
"trong.",120038,0.000658357259603346
"sang'",118398,0.0006493625587107163
"tai`",118247,0.0006485343880797484
"ky?",116141,0.0006369838758359203
"nhom'",116052,0.0006364957487752837
"noi'",115657,0.0006343293421578516
"vu~",115343,0.0006326071860113359
"cha{",114102,0.0006258008300309981
