"bigram","count"
"ng",25123903
"nh",12720224
"th",12660654
"ch",9155122
"tr",7321426
"an",5571134
"hi",5422341
"ph",4587649
"on",4137546
"kh",3926127
"và",3731410
"in",3473903
"ên",3382083
"ho",3143380
"qu",3116561
"ại",3103225
"gi",3094531
"ôn",3013778
"ác",2923755
"há",2836579
"àn",2799252
"ti",2766754
"iệ",2757229
"ro",2720396
"là",2707162
"củ",2678587
"ủa",2667970
"ha",2632015
"lo",2608144
"ượ",2415254
"ra",2382348
"cá",2303933
"hu",2294966
"hà",2228651
"uy",2219256
"đư",2193117
"ân",2166196
"ar",2137406
"iế",2112180
"er",2095310
"iê",2078778
"án",2025510
"hư",1969477
"nă",1969364
"am",1962472
"ia",1960197
"ườ",1955267
"ột",1947758
"ợc",1937875
"mộ",1913702
"ăm",1886382
"oạ",1864801
"vi",1804879
"ri",1790912
"ến",1787945
"li",1763951
"ới",1738888
"na",1735516
"hể",1731499
"ời",1727270
"ba",1669089
"ơn",1644888
"ản",1555743
"en",1549873
"al",1507124
"có",1504086
"ất",1492284
"la",1463379
"he",1440735
"ma",1439041
"sa",1420777
"ện",1409884
"ai",1406240
"un",1403373
"ày",1361296
"or",1315532
"oà",1313978
"ca",1300573
"hí",1300128
"ta",1282078
"te",1268646
"ìn",1257285
"ết",1245885
"le",1213049
"ài",1199798
"re",1186144
"si",1181048
"es",1166574
"co",1163361
"at",1150856
"gư",1146422
"ươ",1139773
"ướ",1139414
"gh",1124032
"độ",1117980
"st",1106163
"hô",1102123
"bi",1089122
"ào",1079372
"ay",1077013
"ru",1074294
"to",1062101
"di",1050222
"ne",1045846
"uố",1042156
"họ",1041965
"is",1031843
"ua",1021397
"au",1012652
"ni",1012234
"ần",1011744
"vớ",1008316
"ầu",1007599
"iề",1006651
"hâ",1003984
"đã",979051
"ật",963695
"mi",951588
"hả",943735
"iể",942431
"ki",939163
"ốn",924994
"ín",916420
"el",915978
"da",912562
"ốc",912560
"ăn",912127
"tạ",894516
"hấ",889387
"đi",871920
"cô",870825
"tu",859760
"nd",856405
"ic",855866
"hủ",850084
"de",849905
"ận",849186
"ải",847746
"nt",846758
"số",844132
"hứ",843107
"ạn",842427
"ờn",841115
"ập",837973
"ao",837386
"ll",834727
"ực",832554
"il",826026
"do",822807
"ều",819045
"hữ",812083
"hậ",802077
"từ",801862
"hạ",795444
"as",795081
"nà",779820
"ức",776032
"us",771949
"ộn",763688
"me",763273
"ội",762875
"im",758909
"rư",752195
"it",740733
"ây",739265
"ộc",737638
"ol",736930
"ớc",731470
"ền",730523
"đế",726251
"cu",721437
"át",716488
"gu",711696
"gà",707446
"hú",706951
"đạ",701684
"oa",697193
"se",696163
"ùn",691084
"go",689223
"ga",687641
"òn",681733
"ồn",663815
"ệt",661436
"ọc",660053
"ữn",656081
"eo",655394
"hế",651294
"ảo",648819
"om",635091
"so",635031
"uâ",625005
"bả",624267
"hố",623155
"ối",621900
"đầ",613813
"ur",612742
"tư",598634
"uộ",598066
"ea",597583
"vậ",585116
"io",585087
"đị",582986
"đó",581507
"hì",575688
"ái",573385
"no",560388
"sh",559295
"em",557853
"ển",551605
"ie",551066
"ac",549951
"lạ",549537
"iá",541360
"ục",541135
"hó",540645
"íc",539243
"os",535362
"sự",534638
"et",533893
"kế",533348
"lu",532789
"ón",532225
"pa",529566
"âu",526250
"đá",522947
"áo",522674
"ạc",522070
"id",521454
"ge",517659
"be",510064
"va",509346
"iả",507804
"mo",504581
"về",504048
"xu",501998
"lư",501757
"áp",500215
"ou",499351
"ve",498919
"dâ",491603
"rê",487877
"để",486734
"yê",482146
"ed",478992
"ad",477782
"ce",477138
"ịc",475106
"hị",472961
"rt",472366
"bị",469923
"hơ",468072
"bộ",466841
"ằn",462472
"nó",462350
"pe",460246
"hầ",460070
"cả",457015
"đô",454242
"uậ",445761
"bà",444140
"su",443033
"tâ",442154
"bắ",440679
"ớn",439127
"ặc",438723
"ắc",435463
"hờ",433751
"sá",431139
"ir",430790
"um",428897
"àm",428757
"bu",423596
"bo",423330
"ns",419986
"ot",417720
"ấn",414488
"ễn",414443
"đồ",413956
"tí",413859
"yế",406781
"ợn",404355
