"trigram","count"
"của",2665491
"ông",2663762
"ong",2041965
"ược",1937603
"các",1921450
"đượ",1865546
"một",1864309
"năm",1823571
"iên",1751704
"thể",1731279
"ron",1695343
"tro",1679216
"oại",1508612
"hàn",1485458
"loạ",1457343
"ành",1410663
"thá",1225932
"ình",1197986
"inh",1182457
"áng",1143766
"hán",1143056
"ngư",1137436
"anh",1134288
"hiệ",1123302
"ươn",1115544
"ười",1115154
"ơng",1111836
"chi",1088819
"gườ",1086620
"iến",1035060
"hôn",1017590
"với",1005636
"cho",986628
"ang",959090
"iện",955449
"ung",929682
"hiế",923402
"gia",871892
"phá",859739
"the",852343
"ính",850705
"thu",845922
"tha",843452
"thà",842380
"ườn",839428
"ngh",834971
"vào",818875
"ờng",799616
"tru",765241
"hân",758458
"khô",746763
"ống",741719
"ộng",739430
"nhi",737166
"việ",736269
"ước",731278
"trư",730424
"iều",726416
"như",715650
"uốc",702420
"khi",701784
"qua",693995
"ngà",685741
"này",685697
"chí",684139
"ùng",681105
"huy",666751
"côn",666347
"àng",661382
"quố",658560
"ững",656030
"oàn",650974
"nam",650042
"tại",647177
"nhữ",646953
"hữn",645825
"oài",644086
"tiế",635306
"thi",634263
"uân",624406
"gày",622268
"đến",612154
"tra",608555
"iệt",603065
"hín",585325
"hất",579277
"đầu",571882
"ách",569555
"thư",564704
"chu",559544
"ham",559475
"phi",558792
"uộc",552490
"sau",550216
"tin",547123
"ran",545542
"giá",539174
"ích",535282
"học",534217
"quâ",530420
"hiê",526367
"nhà",516440
"run",507911
"giả",507785
"khá",499296
"tri",489711
"hát",489360
"and",481664
"trê",480813
"ồng",480387
"rên",479448
"iết",478067
"óng",475569
"ịch",475068
"hoa",472299
"ảng",468606
"ghi",465721
"thứ",462694
"liê",462301
"sin",462120
"độn",460291
"dân",458375
"ngu",456451
"nhậ",455797
"con",455673
"bản",453504
"ằng",450730
"hươ",449508
"uan",448128
"chú",444664
"ánh",437681
"hai",435408
"ăng",434045
"han",428437
"ngo",427979
"vật",421518
"đại",420694
"nhấ",414741
"kết",413440
"nhâ",412813
"kho",408955
"hác",407942
"heo",405315
"tiê",404884
"hiề",403808
"iệu",402857
"hìn",402067
"ũng",400305
"yên",399478
"thờ",394473
"lan",394197
"hức",394156
"ượn",390694
"yền",390368
"uyề",390343
"khả",387812
"hải",380805
"thủ",379907
"ợng",376932
"bar",376144
"ban",374938
"làm",373948
"thế",370079
"lại",369937
"ian",365911
"quy",364757
"cũn",364137
"hần",361126
"hảo",355100
"uyê",355024
"ing",354309
"viê",351813
"ịnh",351380
"ter",351019
"nướ",349400
"man",348610
"guy",346890
"iểu",344861
"hời",344702
"tập",344507
"ưng",342094
"uất",341048
"hoà",340605
"òng",337165
"ạng",336592
"uyệ",336220
"chứ",334444
"iển",333774
"iải",333107
"him",331610
"thự",331445
"ion",330232
"đồn",329491
"ởng",328900
"ưởn",328825
"tuy",328762
"khu",327917
"háp",327501
"hực",327361
"ill",326864
"thị",326384
"chỉ",320248
"loà",314676
"min",313507
"goà",311760
"uyế",309884
"iệc",309185
"hốn",303890
"ụng",302336
"hội",302154
"xuấ",298378
"phả",298071
"cha",293722
"yện",291247
"chủ",291096
"tên",289982
"hay",287814
"địn",287124
"iễn",285843
"còn",284153
"ỉnh",283363
"cầu",282138
"cùn",281663
"huộ",281107
"châ",279432
"dan",277443
"ent",275306
"ảnh",275129
"lin",273774
"iệp",272652
"rườ",271893
"hưn",271829
"lượ",270802
"úng",269991
"cao",269044
"văn",268544
"đội",267060
"dụn",266178
"nha",265621
"phí",264621
"hơn",264527
"ứng",263858
"iểm",263755
"hận",263473
"quả",263195
"bón",262398
"ếng",261606
"thô",261181
"shi",258632
"cuộ",256773
"ruy",255535
"iền",254070
"điề",252111
"hái",251566
"trì",251463
"ổng",250330
"phầ",249895
"mar",246268
"kin",246061
"hườ",244245
"đôn",243931
"diễ",243004
"giớ",242374
"iới",242351
"thí",242096
"tín",239188
"phố",238076
"hợp",236072
"tây",235835
"iêu",235450
"thấ",235064
"hía",234899
"rướ",234816
"nga",233590
"điể",232432
"ari",232358
"lập",231992
"biế",231220
"tổn",231211
"bắc",230005
"bởi",230003
"sta",229344
"iáo",228825
"ine",227632
"bằn",227346
"biể",227112
"ati",226251
"tỉn",225459
"uật",225304
"thố",223418
"hoạ",220410
"uận",220079
"iếp",219861
"ướn",219845
"rìn",219239
"san",219135
"ớng",219103
"tác",218599
"hật",218430
"hạc",217868
"sản",217588
"chư",217546
"yển",217293
"híc",216914
"hạn",216846
"phư",216524
"uyể",216486
"bìn",216228
"lớn",216211
"hâu",215139
"phụ",214483
"iệm",213906
"giữ",213743
"hóa",213152
"trở",212252
"trị",211914
"eri",211477
"địa",211295
"đườ",210435
"tio",208757
"đán",207234
"son",205663
"huậ",205518
"tex",204991
"pho",203476
"chế",202816
"bay",202413
"oặc",201917
"ana",201491
"ext",201488
"hoặ",201092
"ell",200734
"ard",198916
"yết",198865
"ste",198050
"hon",196851
"sốn",196301
"rom",196238
"chấ",196090
"hoả",195634
"ist",194979
"ant",194888
"rằn",194743
"đối",192882
"oản",192759
"art",192202
"nhạ",191807
"hún",191392
"oạt",191276
"gồm",191046
"ắng",190638
"đoà",189912
"trậ",188882
"ina",188704
"ber",188121
"lực",185588
"đức",185301
"ers",184082
"ont",184019
"rận",183847
"ali",182471
"ừng",182444
"che",181412
"est",180938
"diệ",179993
"har",179031
"lên",179009
"ara",178007
"máy",177580
"cộn",177226
"all",177030
"ric",176933
"vùn",176718
"tan",176668
"đây",175869
"gọi",174445
"phâ",174042
"ame",173471
"tạo",172375
"điệ",172294
"đạo",171638
"vươ",171557
"mìn",170662
"ọng",170516
"bao",169788
"ica",169598
"ria",168788
"mạn",168727
"ver",168610
"ton",167813
"cấp",167608
"lon",167595
"lần",167479
"ani",166824
"ạch",166370
"bắt",165703
"can",165701
"mặt",165444
"for",165034
"hun",164900
"trí",164495
"tíc",164465
"ghĩ",164398
"ngô",163777
"dươ",163302
"tiể",163074
"ris",160887
"jpg",160815
"cuố",160812
"tướ",160121
"ale",160120
"ata",159487
"mon",159294
"lịc",159093
"đấu",157259
"res",157156
"uốn",156466
"oan",156323
"ệnh",155783
"lle",155379
"toà",155050
"ạnh",154840
"tàu",154480
"mới",153145
"her",152913
"uản",152462
"đặc",152192
"tho",151667
"nte",151580
"uổi",151319
"bảo",151296
"uối",151015
"rin",150556
"ưới",150457
"vực",150356
"der",150157
"iếu",148690
"quá",148662
"đất",148546
"sác",148459
"hĩa",147795
"ala",147786
"hập",147597
"men",147480
"hòa",146974
"car",146956
"hau",145847
"ate",145572
"nia",145497
"hơi",145422
"per",145357
"les",145353
"năn",145332
"ich",145180
"thì",144744
"nes",144281
"hòn",144170
"húc",143662
"đơn",142773
"đan",142757
"tor",142688
"col",142284
"vai",141723
"bài",140819
"rưở",140708
"ain",140575
"fro",139990
"par",139958
"hắn",139399
"thê",138982
"hậu",138914
"biệ",138480
"hết",138460
"tới",137857
"rất",137349
"ide",134321
"hêm",134292
"tâm",133821
"int",133656
"hẩm",133307
"liệ",133289
"one",133259
"nhỏ",133158
"hin",132713
"nội",132426
"lla",132353
"nên",132331
"xem",132231
"sán",132175
"bin",131722
"uần",131550
"hấy",131145
"str",131081
"cal",130799
"phò",130279
"cản",129726
"trá",129240
"era",129113
"thầ",128852
"ona",128782
"iữa",128439
"uyễ",128375
"yễn",128374
"riể",128195
"iếm",127832
"mục",127447
"olo",127433
"kiế",127137
"trọ",126972
"gra",126876
"til",126718
"dịc",126707
"kha",126212
"tìn",125951
"phủ",125768
"sto",125487
"anc",124774
"dướ",124608
"tôn",124368
"luậ",124284
"lia",124214
"ori",124124
"rọn",123850
"hướ",123829
"rai",123701
"mer",123170
"đảo",122913
"ert",122458
"hưở",122396
"ama",122210
"ghệ",121707
"tươ",121696
"alb",121199
"lli",121123
"yến",120911
"don",120629
"thắ",120379
"đổi",120363
"oạn",120123
"ida",119969
"nin",119807
"hục",119191
"nơi",118694
"ast",118618
"nay",118606
"thậ",118598
"tài",118280
"tar",118025
"bán",117457
"ens",117442
